Region,Site,Type,Year,Prevalence,N,UseDataInFit
National,Thonje HC,RT,2016,0.0158,570,TRUE
National,Thonje HC,RT,2017,0.0263,532,TRUE
National,Thonje HC,RT,2018,0.0266,602,TRUE
National,Thyolo,SS,2007,0.38,510,TRUE
National,Thyolo,SS,2010,0.252,540,TRUE
National,Thyolo,RT,2011,0.1784,1710,TRUE
National,Thyolo,RT,2012,0.1869,3270,TRUE
National,Thyolo,RT,2013,0.195,2862,TRUE
National,Thyolo,RT,2014,0.1998,2898,TRUE
National,Thyolo,RT,2016,0.1722,8566,TRUE
National,Thyolo,RT,2017,0.1762,5169,TRUE
National,Thyolo,RT,2018,0.1793,3234,TRUE
National,Thyolo,RT,2019,0.1419,1995,TRUE
National,Thyolo,RT,2020,0.1075,8532,TRUE
National,Thyolo,RT,2021,0.0665,6089,TRUE
National,Thyolo,RT,2022,0.104,3289,TRUE
